review_id,fake_score,is_suspicious,reasons
REV00000,0,False,[]
REV00001,0,False,[]
REV00002,0,False,[]
REV00003,0,False,[]
REV00004,0,False,[]
REV00005,0,False,[]
REV00006,0,False,[]
REV00007,0,False,[]
REV00008,0,False,[]
REV00009,0,False,[]
REV00010,0,False,[]
REV00011,0,False,[]
REV00012,0,False,[]
REV00013,0,False,[]
REV00014,0,False,[]
REV00015,0,False,[]
REV00016,0,False,[]
REV00017,0,False,[]
REV00018,0,False,[]
REV00019,0,False,[]
REV00020,0,False,[]
REV00021,0,False,[]
REV00022,0,False,[]
REV00023,0,False,[]
REV00024,0,False,[]
REV00025,0,False,[]
REV00026,0,False,[]
REV00027,0,False,[]
REV00028,0,False,[]
REV00029,0,False,[]
REV00030,0,False,[]
REV00031,0,False,[]
REV00032,0,False,[]
REV00033,0,False,[]
REV00034,0,False,[]
REV00035,0,False,[]
REV00036,0,False,[]
REV00037,0,False,[]
REV00038,0,False,[]
REV00039,0,False,[]
REV00040,0,False,[]
REV00041,0,False,[]
REV00042,0,False,[]
REV00043,0,False,[]
REV00044,0,False,[]
REV00045,0,False,[]
REV00046,0,False,[]
REV00047,0,False,[]
REV00048,0,False,[]
REV00049,0,False,[]
REV00050,0,False,[]
REV00051,0,False,[]
REV00052,0,False,[]
REV00053,0,False,[]
REV00054,0,False,[]
REV00055,0,False,[]
REV00056,0,False,[]
REV00057,0,False,[]
REV00058,0,False,[]
REV00059,0,False,[]
REV00060,0,False,[]
REV00061,0,False,[]
REV00062,0,False,[]
REV00063,0,False,[]
REV00064,0,False,[]
REV00065,0,False,[]
REV00066,0,False,[]
REV00067,0,False,[]
REV00068,0,False,[]
REV00069,0,False,[]
REV00070,0,False,[]
REV00071,0,False,[]
REV00072,0,False,[]
REV00073,0,False,[]
REV00074,0,False,[]
REV00075,0,False,[]
REV00076,0,False,[]
REV00077,0,False,[]
REV00078,0,False,[]
REV00079,0,False,[]
REV00080,0,False,[]
REV00081,0,False,[]
REV00082,0,False,[]
REV00083,0,False,[]
REV00084,0,False,[]
REV00085,0,False,[]
REV00086,0,False,[]
REV00087,0,False,[]
REV00088,0,False,[]
REV00089,0,False,[]
